Els manifestants han denunciat que en els darrers anys "els successius governs d'aquí i d'allà han passat del menyspreu al desmantellament de l'escola pública, començant a Catalunya per la pròpia LEC" i han alertat que s'està "deteriorant greument la qualitat de l'educació pública i les condicions laborals dels treballadors".	successius
Els manifestants han denunciat que en els darrers anys "els successius governs d'aquí i d'allà han passat del menyspreu al desmantellament de l'escola pública, començant a Catalunya per la pròpia LEC" i han alertat que s'està "deteriorant greument la qualitat de l'educació pública i les condicions laborals dels treballadors".	deteriorant
Els manifestants han denunciat que en els darrers anys "els successius governs d'aquí i d'allà han passat del menyspreu al desmantellament de l'escola pública, començant a Catalunya per la pròpia LEC" i han alertat que s'està "deteriorant greument la qualitat de l'educació pública i les condicions laborals dels treballadors".	desmantellament
Ribó ha apel·lat tota la jerarquia eclesiàstica a Catalunya, començant pel cardenal Omella, a "trobar la màxima interlocució i col·laboració pels casos que se'ns puguin presentar" i s'ha mostrat convençut que així serà, perquè li han donat "proves que hi estan disposats".	eclesiàstica
Ribó ha apel·lat tota la jerarquia eclesiàstica a Catalunya, començant pel cardenal Omella, a "trobar la màxima interlocució i col·laboració pels casos que se'ns puguin presentar" i s'ha mostrat convençut que així serà, perquè li han donat "proves que hi estan disposats".	jerarquia
Ribó ha apel·lat tota la jerarquia eclesiàstica a Catalunya, començant pel cardenal Omella, a "trobar la màxima interlocució i col·laboració pels casos que se'ns puguin presentar" i s'ha mostrat convençut que així serà, perquè li han donat "proves que hi estan disposats".	interlocució
Segons afirmen, el text certifica una "profunda claudicació en defensa del sistema d'immersió", tot proposant una "versió pròpia" del TIL aplicat a les Illes Balears que "no recull la realitat sociolingüística del català com a llengua minoritzada".	minoritzada
Segons afirmen, el text certifica una "profunda claudicació en defensa del sistema d'immersió", tot proposant una "versió pròpia" del TIL aplicat a les Illes Balears que "no recull la realitat sociolingüística del català com a llengua minoritzada".	claudicació
Segons afirmen, el text certifica una "profunda claudicació en defensa del sistema d'immersió", tot proposant una "versió pròpia" del TIL aplicat a les Illes Balears que "no recull la realitat sociolingüística del català com a llengua minoritzada".	sociolingüística
D'entre les escoles que inauguraran el curs amb obres destaquen l'escola Ignasi Iglesias que tot i intensificar-se en el període estival, són de gran envergadura i per tant, ja estaven planificades en aquesta línia.	planificades
D'entre les escoles que inauguraran el curs amb obres destaquen l'escola Ignasi Iglesias que tot i intensificar-se en el període estival, són de gran envergadura i per tant, ja estaven planificades en aquesta línia.	estival
D'entre les escoles que inauguraran el curs amb obres destaquen l'escola Ignasi Iglesias que tot i intensificar-se en el període estival, són de gran envergadura i per tant, ja estaven planificades en aquesta línia.	envergadura
El Ministeri d'Educació estudia si en l'aplicació del 155, a través del qual assumeix les competències del Departament d'Ensenyament, pot modificar les normes de preinscripció escolar i incloure, en l'imprès que omplen les famílies, una casella per a què els pares puguin triar el castellà com a llengua vehicular amb què volen escolaritzar els seus fills.	escolaritzar
El Ministeri d'Educació estudia si en l'aplicació del 155, a través del qual assumeix les competències del Departament d'Ensenyament, pot modificar les normes de preinscripció escolar i incloure, en l'imprès que omplen les famílies, una casella per a què els pares puguin triar el castellà com a llengua vehicular amb què volen escolaritzar els seus fills.	imprès
El Ministeri d'Educació estudia si en l'aplicació del 155, a través del qual assumeix les competències del Departament d'Ensenyament, pot modificar les normes de preinscripció escolar i incloure, en l'imprès que omplen les famílies, una casella per a què els pares puguin triar el castellà com a llengua vehicular amb què volen escolaritzar els seus fills.	vehicular
El professorat no ha de ser de transmissor d'informació, sinó que ha d'inculcar el pensament crític i el pensament estratègic per combinar diferents informacions, entendre altres disciplines i distingir l'important de lefímer, ha demanat.	transmissor
El professorat no ha de ser de transmissor d'informació, sinó que ha d'inculcar el pensament crític i el pensament estratègic per combinar diferents informacions, entendre altres disciplines i distingir l'important de lefímer, ha demanat.	inculcar
El professorat no ha de ser de transmissor d'informació, sinó que ha d'inculcar el pensament crític i el pensament estratègic per combinar diferents informacions, entendre altres disciplines i distingir l'important de l’efímer, ha demanat.	efímer
I mentrestant, docents i direccions de centres ofegats en un oceà de burocràcia inútil que no para de créixer, ha afegit la Intersindical.	inútil
I mentrestant, docents i direccions de centres ofegats en un oceà de burocràcia inútil que no para de créixer, ha afegit la Intersindical.	oceà
I mentrestant, docents i direccions de centres ofegats en un oceà de burocràcia inútil que no para de créixer, ha afegit la Intersindical.	burocràcia
Per això, el Síndic recomana a Ensenyament elaborar un decàleg amb instruccions sobre el tractament de la situació política i materials didàctics per poder abordar temes controvertits a les aules, per garantir els drets de tots els infants.	didàctics
Per això, el Síndic recomana a Ensenyament elaborar un decàleg amb instruccions sobre el tractament de la situació política i materials didàctics per poder abordar temes controvertits a les aules, per garantir els drets de tots els infants.	controvertits
